CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
2.54123,25.11,16544.14815,36.54414815,2.564550568,47.58241359,0.00132,0.4929,0.4745,1.414794044,1.48094283,65.08685356,Not Bloom,0.0184,3.54297,NON_BLOOM
3.54297,26.795,16483.66667,36.48366667,4.133155341,41.50981827,0,0.5234,0.6102,1.420256909,1.289785727,63.67897339,Not Bloom,-0.0868,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,1.08056,
1.08056,28.07,16597.41379,36.59741379,3.401116834,-18.30828421,0.00001,0.7738,0.731,1.715408722,1.539996618,71.9047801,Not Bloom,0.0428,14.64386,BLOOM
14.64386,25.995,16491.03448,36.49103448,1.164048023,39.56915013,0,0.6624,0.7327,1.709609889,1.253426692,73.32900956,Bloom,-0.0703,15.31444,BLOOM
15.31444,27.935,16619.03333,36.61903333,1.855106351,73.01134843,0,0.4432,0.5169,1.758335506,1.04799014,76.21242483,Bloom,-0.0737,9.66209,NON_BLOOM
9.66209,26.905,16588.60714,36.58860714,1.032823572,-163.0036501,0.0023,0.427,0.5137,1.726817883,1.040631486,65.56223001,Not Bloom,-0.0867,2.53247,NON_BLOOM
2.53247,24.895,16622.9,36.6229,1.02258844,-172.8989461,0.00009,0.41,0.4557,1.753108499,1.126885149,61.44148525,Not Bloom,-0.0457,3.10791,NON_BLOOM
3.10791,23.21,16626.26667,36.62626667,0.986920232,-133.1559103,0.00256,0.4343,0.5556,1.765172127,1.716745144,46.7031232,Not Bloom,-0.1213,4.62501,NON_BLOOM
4.62501,22.42,16561.81481,36.56181481,1.388054811,-8.512895622,0.00132,0.4019,0.4927,1.871381462,1.949210666,47.74529402,Not Bloom,-0.0908,6.2253,NON_BLOOM
6.2253,23.7,16541.63333,36.54163333,1.64395116,16.52990459,0.00189,0.2024,0.1982,1.924288108,1.985743808,32.42405292,Not Bloom,0.0042,2.07284,NON_BLOOM
2.07284,25.545,16512.57143,36.51257143,2.474160975,36.59019177,0.00007,0.3159,0.3693,1.914707831,1.508032429,41.4124523,Not Bloom,-0.0534,1.33246,NON_BLOOM
1.33246,28.085,16525.06667,36.52506667,2.779265623,45.37412319,0,0.3472,0.3767,1.998942906,1.853327525,44.73174956,Not Bloom,-0.0295,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,6.91555,
6.91555,27.155,16498.93103,36.49893103,2.203303704,-2.931531138,0,0.4971,0.5257,2.027000898,1.095028221,74.70330423,Not Bloom,-0.0286,4.04601,NON_BLOOM
4.04601,27.78,16569.16667,36.56916667,0.205112439,64.23649509,0.00001,0.5046,0.5964,2.015627616,0.753252208,70.78642957,Not Bloom,-0.0918,2.28376,NON_BLOOM
